TEAM,WINTOTAL,OVERODDS,UNDERODDS
KC,12,-130,+110
TB,11.5,+100,-120
GB,11,+105,-125
BAL,11,-105,-115
LAR,10.5,+105,-125
BUF,10.5,-130,+110
SEA,10,+105,-125
SF,10,-140,+120
IND,10,-110,-110
CLE,10,-115,-105
TEN,9.5,+110,-130
NO,9.5,+120,-140
DAL,9.5,+110,-130
PIT,9,+105,-125
NE,9,-125,+105
MIA,9,-135,+115
LAC,9,+105,-125
MIN,8.5,-115,-105
WAS,8,-105,-115
LV,8,+115,-135
ARI,8,-140,+120
DEN,7.5,+105,-125
CHI,7.5,+105,-125
CAR,7.5,+110,-130
PHI,7,+105,-125
NYG,7,-110,-110
ATL,7,-115,-105
CIN,6.5,-105,-115
NYJ,6,-130,+110
JAX,6,-120,+110
HOU,5,+110,-130
DET,5,-130,+110